SHOT,ONSET_TIME,NTOR,MODE_TYPE
176067,2.63800E+03,1,rwm
176068,2.41850E+03,1,rwm
176068,2.69200E+03,1,rwm
176068,2.97050E+03,1,rwm
176068,3.29300E+03,1,rwm
176069,2.26974E+03,1,rwm
176069,3.23500E+03,1,rwm
176069,3.78950E+03,1,rwm
176070,2.81840E+03,1,rwm
176070,3.01350E+03,1,rwm
176071,3.07100E+03,1,rwm
176074,2.23900E+03,1,rwm
176074,3.46100E+03,1,rwm
176077,1.65350E+03,1,rwm
176078,3.43500E+03,1,rwm
176078,4.14900E+03,1,rwm
176085,3.56000E+03,1,rwm
176087,3.13800E+03,1,rwm
176088,2.12100E+03,1,rwm
176088,2.32800E+03,1,rwm
176088,3.61600E+03,1,rwm
176089,2.84300E+03,1,rwm
176085,3.82750E+03,2,n2rwm
176088,4.13350E+03,2,n2rwm
176089,4.40000E+03,2,n2rwm
176092,4.08400E+03,2,n2rwm
